Post_ID,Platform,Post_Date,Post_Time,Post_Type,Content_Theme,Caption,Hashtags,Impressions,Reach,Likes,Comments,Shares,Saves,Profile_Visits,Link_Clicks,Followers_Before,Followers_After,Campaign_Name,CTR,Total_Engagement,Engagement_Rate,Virality_Score,Follower_Growth,Sentiment_Score,AI_Content_Score,Predicted_Content_Type
P624,LinkedIn,2024-08-06,14:05,Carousel,Motivational,Sample social media post caption 624,#marketing #socialmedia #AI,41541,65274,339,237,148,260,1976,175,33764,33964,Lead Generation,0.4212705519847861,984,1.507491497380274,0.2267365260287404,200,0.03333333333333333,45,Customer Story
P625,YouTube,2024-07-14,03:23,Reel,Industry News,Sample social media post caption 625,#marketing #socialmedia #AI,36853,34954,4197,111,38,237,1498,970,15827,15852,Summer Campaign,2.632078799554989,4583,13.111517995079248,0.1087143102363105,25,0.03333333333333333,45,Customer Story
P626,YouTube,2025-01-23,22:00,Text,Industry News,Sample social media post caption 626,#marketing #socialmedia #AI,21438,14726,2470,491,259,450,1055,931,34141,34247,Organic,4.342755854090867,3670,24.92190683145457,1.7587939698492463,106,0.03333333333333333,45,Customer Story
P627,Facebook,2024-05-22,12:32,Video,Product Launch,Sample social media post caption 627,#marketing #socialmedia #AI,36015,4736,2512,418,220,343,850,197,64970,65100,Lead Generation,0.5469943079272526,3493,73.75422297297297,4.64527027027027,130,0.03333333333333333,45,Customer Story
P628,Instagram,2025-03-19,00:26,Text,Educational,Sample social media post caption 628,#marketing #socialmedia #AI,27199,41188,4395,115,51,441,1155,405,67251,67370,Lead Generation,1.4890253318136697,5002,12.144313877828496,0.1238224725648247,119,0.03333333333333333,45,Customer Story
P629,Instagram,2025-09-19,17:37,Carousel,Industry News,Sample social media post caption 629,#marketing #socialmedia #AI,80388,46553,2395,179,49,436,1703,515,42102,42264,Engagement Drive,0.6406428820221923,3059,6.571005090971581,0.1052563744549223,162,0.03333333333333333,45,Customer Story
P630,YouTube,2025-03-30,20:39,Video,Industry News,Sample social media post caption 630,#marketing #socialmedia #AI,47336,64963,3925,293,223,160,1493,494,9062,9222,Brand Awareness,1.0436031772857866,4601,7.082493111463449,0.3432723242461093,160,0.03333333333333333,45,Customer Story
P631,LinkedIn,2025-02-20,02:39,Carousel,Industry News,Sample social media post caption 631,#marketing #socialmedia #AI,34803,24352,3879,35,204,441,1425,432,24294,24387,Engagement Drive,1.2412723041117144,4559,18.72125492772668,0.8377135348226018,93,0.03333333333333333,45,Customer Story
P632,Facebook,2024-10-02,17:04,Carousel,Educational,Sample social media post caption 632,#marketing #socialmedia #AI,97267,53018,80,451,200,187,630,531,28542,28543,Organic,0.5459199934201733,918,1.7314874193670071,0.3772303745897619,1,0.03333333333333333,45,Customer Story
P633,YouTube,2025-03-16,04:38,Text,Industry News,Sample social media post caption 633,#marketing #socialmedia #AI,10851,45990,1905,98,9,387,1174,395,47119,47172,Lead Generation,3.64021749147544,2399,5.216351380734943,0.0195694716242661,53,0.03333333333333333,45,Customer Story
P634,Instagram,2024-01-01,16:48,Text,Promotional,Sample social media post caption 634,#marketing #socialmedia #AI,38944,52324,3337,136,238,121,746,959,27039,27118,Summer Campaign,2.4625102711585867,3832,7.323599113217644,0.4548581912697805,79,0.03333333333333333,45,Customer Story
P635,YouTube,2025-09-19,03:10,Carousel,Promotional,Sample social media post caption 635,#marketing #socialmedia #AI,8120,79180,1329,246,17,287,742,893,90677,90811,Engagement Drive,10.997536945812808,1879,2.373074008588027,0.0214700681990401,134,0.03333333333333333,45,Customer Story
P636,Instagram,2024-12-09,16:40,Reel,Motivational,Sample social media post caption 636,#marketing #socialmedia #AI,92744,36482,4899,402,149,466,828,672,20763,20821,Summer Campaign,0.7245751746743725,5916,16.216216216216218,0.4084205909763719,58,0.03333333333333333,45,Customer Story
P637,Facebook,2024-02-13,22:31,Reel,Product Launch,Sample social media post caption 637,#marketing #socialmedia #AI,10322,8348,4606,362,122,232,888,742,75252,75254,Organic,7.188529354776206,5322,63.75179683756589,1.4614278869190225,2,0.03333333333333333,45,Customer Story
P638,YouTube,2025-08-08,03:22,Reel,Motivational,Sample social media post caption 638,#marketing #socialmedia #AI,79063,22512,4226,316,53,421,1320,17,65401,65571,Organic,0.0215018403045672,5016,22.281449893390192,0.2354299928926794,170,0.03333333333333333,45,Customer Story
P639,YouTube,2025-04-24,15:26,Reel,Motivational,Sample social media post caption 639,#marketing #socialmedia #AI,89998,27670,3550,470,28,224,1460,772,45533,45723,Engagement Drive,0.8577968399297762,4272,15.43910372244308,0.1011926273942898,190,0.03333333333333333,45,Customer Story
P640,YouTube,2025-06-26,02:46,Carousel,Promotional,Sample social media post caption 640,#marketing #socialmedia #AI,91199,11016,3985,253,76,120,329,357,76002,76105,Organic,0.3914516606541738,4434,40.250544662309366,0.6899055918663761,103,0.03333333333333333,45,Customer Story
P641,Instagram,2025-01-09,01:00,Text,Motivational,Sample social media post caption 641,#marketing #socialmedia #AI,5052,3439,1971,189,138,425,259,922,3690,3823,Engagement Drive,18.250197941409343,2723,79.17999418435592,4.012794416981681,133,0.03333333333333333,45,Customer Story
P642,Instagram,2024-09-13,15:23,Reel,Motivational,Sample social media post caption 642,#marketing #socialmedia #AI,91835,76199,2653,53,216,147,617,240,35214,35373,Lead Generation,0.2613382697228725,3069,4.027611910917466,0.2834682869853935,159,0.03333333333333333,45,Customer Story
P643,YouTube,2025-03-27,06:06,Video,Industry News,Sample social media post caption 643,#marketing #socialmedia #AI,49048,19263,3620,82,177,84,1491,1000,11135,11227,Organic,2.038819115968032,3963,20.573119451798785,0.9188599906556612,92,0.03333333333333333,45,Customer Story
P644,Facebook,2025-05-19,06:04,Carousel,Educational,Sample social media post caption 644,#marketing #socialmedia #AI,24775,52099,233,143,34,276,654,861,81968,81966,Engagement Drive,3.4752774974772955,686,1.316723929442024,0.0652603696808,-2,0.03333333333333333,45,Customer Story
P645,Instagram,2024-03-08,23:30,Image,Motivational,Sample social media post caption 645,#marketing #socialmedia #AI,32151,43456,4664,122,291,266,1238,84,53379,53546,Lead Generation,0.2612671456564337,5343,12.295195139911634,0.6696428571428571,167,0.03333333333333333,45,Customer Story
P646,YouTube,2025-03-27,17:30,Image,Industry News,Sample social media post caption 646,#marketing #socialmedia #AI,3685,5132,2671,271,97,138,1314,128,91943,91943,Brand Awareness,3.4735413839891454,3177,61.90568978955573,1.8901013250194856,0,0.03333333333333333,45,Customer Story
P647,Facebook,2025-06-05,12:24,Carousel,Industry News,Sample social media post caption 647,#marketing #socialmedia #AI,61306,70347,3403,38,236,127,1686,745,13377,13429,Brand Awareness,1.2152154764623364,3804,5.407480063115698,0.3354798356717415,52,0.03333333333333333,45,Customer Story
P648,YouTube,2024-11-07,20:47,Video,Motivational,Sample social media post caption 648,#marketing #socialmedia #AI,77728,28066,369,380,211,197,1768,259,91364,91467,Summer Campaign,0.3332132564841498,1157,4.122425710824485,0.7517993301503598,103,0.03333333333333333,45,Customer Story
P649,LinkedIn,2024-04-01,12:13,Carousel,Educational,Sample social media post caption 649,#marketing #socialmedia #AI,78523,51976,67,267,207,312,899,986,37674,37727,Brand Awareness,1.2556830482788484,853,1.641142065568724,0.3982607357241803,53,0.03333333333333333,45,Customer Story
P650,YouTube,2025-02-20,08:09,Video,Promotional,Sample social media post caption 650,#marketing #socialmedia #AI,93439,18342,3225,120,8,463,1856,249,50204,50233,Organic,0.2664840163101061,3816,20.80471050049068,0.0436157452840475,29,0.03333333333333333,45,Customer Story
P651,LinkedIn,2025-08-06,17:40,Text,Industry News,Sample social media post caption 651,#marketing #socialmedia #AI,42249,20545,2202,495,127,412,1766,235,86460,86500,Lead Generation,0.5562261828682336,3236,15.75079094670236,0.6181552689218788,40,0.03333333333333333,45,Customer Story
P652,YouTube,2024-09-14,14:49,Text,Educational,Sample social media post caption 652,#marketing #socialmedia #AI,85801,49493,1300,114,35,162,1441,480,30483,30502,Engagement Drive,0.559434039230312,1611,3.2550057583900758,0.0707170711009637,19,0.03333333333333333,45,Customer Story
P653,Facebook,2025-07-09,17:43,Video,Motivational,Sample social media post caption 653,#marketing #socialmedia #AI,8547,55267,4535,279,43,482,1345,475,1082,1114,Engagement Drive,5.557505557505558,5339,9.66037599290716,0.0778041145710822,32,0.03333333333333333,45,Customer Story
P654,YouTube,2024-06-30,23:54,Image,Promotional,Sample social media post caption 654,#marketing #socialmedia #AI,64566,62284,4788,213,238,193,136,200,92696,92692,Organic,0.3097605550909147,5432,8.721340954338192,0.3821206088240961,-4,0.03333333333333333,45,Customer Story
P655,Instagram,2024-01-01,14:49,Video,Educational,Sample social media post caption 655,#marketing #socialmedia #AI,59712,2360,238,338,17,463,521,793,81658,81766,Summer Campaign,1.3280412647374062,1056,44.74576271186441,0.7203389830508474,108,0.03333333333333333,45,Customer Story
P656,Instagram,2025-09-30,14:18,Reel,Product Launch,Sample social media post caption 656,#marketing #socialmedia #AI,13775,62570,1107,237,288,311,1011,952,23513,23640,Engagement Drive,6.911070780399274,1943,3.105322039315966,0.4602844813808534,127,0.03333333333333333,45,Customer Story
P657,Facebook,2024-08-14,00:38,Video,Promotional,Sample social media post caption 657,#marketing #socialmedia #AI,74012,18474,1031,233,108,279,616,163,69715,69815,Organic,0.2202345565583959,1651,8.936884269784562,0.5846053913608315,100,0.03333333333333333,45,Customer Story
P658,LinkedIn,2024-10-29,02:13,Carousel,Motivational,Sample social media post caption 658,#marketing #socialmedia #AI,73459,40313,2523,141,192,473,1155,968,56833,56813,Lead Generation,1.3177418696143428,3329,8.257882072780493,0.4762731625034108,-20,0.03333333333333333,45,Customer Story
P659,Instagram,2025-12-21,13:00,Video,Industry News,Sample social media post caption 659,#marketing #socialmedia #AI,58354,58622,89,69,23,340,895,857,63192,63308,Summer Campaign,1.468622545155431,521,0.8887448398212274,0.0392344171130292,116,0.03333333333333333,45,Customer Story
P660,YouTube,2025-01-04,20:18,Video,Motivational,Sample social media post caption 660,#marketing #socialmedia #AI,28125,27982,2877,143,63,397,1722,150,32326,32497,Organic,0.5333333333333333,3480,12.436566364091204,0.225144735901651,171,0.03333333333333333,45,Customer Story
P661,Facebook,2025-01-19,17:50,Video,Motivational,Sample social media post caption 661,#marketing #socialmedia #AI,11507,61382,2590,85,144,344,874,712,43506,43664,Lead Generation,6.187538020335448,3163,5.152976442605324,0.2345964615033723,158,0.03333333333333333,45,Customer Story
P662,YouTube,2024-05-17,13:03,Reel,Product Launch,Sample social media post caption 662,#marketing #socialmedia #AI,72913,17140,355,387,229,483,823,377,90966,91032,Organic,0.5170545718870435,1454,8.483080513418903,1.3360560093348892,66,0.03333333333333333,45,Customer Story
P663,Instagram,2025-03-04,19:59,Reel,Product Launch,Sample social media post caption 663,#marketing #socialmedia #AI,9444,59750,238,161,281,175,259,442,24952,25125,Engagement Drive,4.680220245658619,855,1.4309623430962342,0.4702928870292887,173,0.03333333333333333,45,Customer Story
P664,Facebook,2024-09-25,10:33,Text,Promotional,Sample social media post caption 664,#marketing #socialmedia #AI,27718,52064,3883,352,273,214,497,122,81036,81080,Lead Generation,0.4401471967674435,4722,9.06960663798402,0.5243546404425323,44,0.03333333333333333,45,Customer Story
P665,LinkedIn,2024-08-06,10:40,Carousel,Industry News,Sample social media post caption 665,#marketing #socialmedia #AI,53325,38072,537,273,263,413,1080,587,50819,50811,Organic,1.1007969995311768,1486,3.9031309098550113,0.6907963857953351,-8,0.03333333333333333,45,Customer Story
P666,Instagram,2024-08-15,04:16,Video,Product Launch,Sample social media post caption 666,#marketing #socialmedia #AI,7187,5024,4052,275,1,132,288,646,19413,19606,Brand Awareness,8.988451370530123,4460,88.77388535031847,0.0199044585987261,193,0.03333333333333333,45,Customer Story
P667,Instagram,2025-05-31,18:29,Image,Promotional,Sample social media post caption 667,#marketing #socialmedia #AI,20635,74011,3844,5,188,156,1379,533,22335,22386,Engagement Drive,2.582990065422825,4193,5.665374066017213,0.2540162948750861,51,0.03333333333333333,45,Customer Story
P668,Facebook,2024-05-03,05:44,Carousel,Motivational,Sample social media post caption 668,#marketing #socialmedia #AI,78981,69439,1349,254,275,472,1639,625,8379,8479,Engagement Drive,0.7913295602739898,2350,3.38426532640159,0.3960310488342285,100,0.03333333333333333,45,Customer Story
P669,LinkedIn,2025-06-04,17:11,Carousel,Motivational,Sample social media post caption 669,#marketing #socialmedia #AI,53961,49206,755,272,76,98,844,863,8586,8712,Organic,1.599303200459591,1201,2.4407592570011785,0.1544527090192252,126,0.03333333333333333,45,Customer Story
P670,Instagram,2024-07-30,19:40,Reel,Industry News,Sample social media post caption 670,#marketing #socialmedia #AI,1118,3294,1160,198,291,263,700,383,34067,34096,Engagement Drive,34.257602862254025,1912,58.04493017607771,8.83424408014572,29,0.03333333333333333,45,Customer Story
P671,YouTube,2024-06-07,21:58,Video,Promotional,Sample social media post caption 671,#marketing #socialmedia #AI,5603,49574,1639,412,3,101,1197,995,66324,66453,Organic,17.758343744422632,2155,4.3470367531367256,0.0060515592851091,129,0.03333333333333333,45,Customer Story
P672,LinkedIn,2025-04-22,22:46,Image,Promotional,Sample social media post caption 672,#marketing #socialmedia #AI,51683,63233,60,382,37,38,1653,504,29932,29971,Lead Generation,0.9751755896523036,517,0.8176110575174355,0.0585137507314218,39,0.03333333333333333,45,Customer Story
P673,Instagram,2024-07-28,03:02,Video,Educational,Sample social media post caption 673,#marketing #socialmedia #AI,99780,24936,1924,357,109,205,866,791,34839,35001,Brand Awareness,0.7927440368811385,2595,10.406641000962464,0.4371190247032402,162,0.03333333333333333,45,Customer Story
P674,LinkedIn,2025-06-12,20:22,Carousel,Educational,Sample social media post caption 674,#marketing #socialmedia #AI,99842,2023,77,205,170,500,1151,692,34386,34396,Summer Campaign,0.6930950902425833,952,47.05882352941176,8.403361344537815,10,0.03333333333333333,45,Customer Story
P675,YouTube,2025-09-24,15:40,Carousel,Educational,Sample social media post caption 675,#marketing #socialmedia #AI,29728,10934,3584,469,62,135,196,296,20534,20655,Lead Generation,0.9956942949407964,4250,38.86958112310225,0.5670385952076094,121,0.03333333333333333,45,Customer Story
P676,Instagram,2024-11-19,14:37,Video,Industry News,Sample social media post caption 676,#marketing #socialmedia #AI,76775,60526,481,464,231,41,1452,812,41941,42107,Engagement Drive,1.0576359492022145,1217,2.010706142814658,0.381654165152166,166,0.03333333333333333,45,Customer Story
P677,YouTube,2024-04-05,22:04,Image,Industry News,Sample social media post caption 677,#marketing #socialmedia #AI,37898,50131,4649,28,147,301,965,645,74460,74558,Brand Awareness,1.7019367776663674,5125,10.223215176238256,0.293231732859907,98,0.03333333333333333,45,Customer Story
P678,LinkedIn,2024-06-23,13:51,Reel,Product Launch,Sample social media post caption 678,#marketing #socialmedia #AI,22046,53703,1347,353,138,384,354,251,43256,43270,Summer Campaign,1.138528531252835,2222,4.137571457832896,0.2569688844198648,14,0.03333333333333333,45,Customer Story
P679,YouTube,2025-11-04,05:04,Image,Motivational,Sample social media post caption 679,#marketing #socialmedia #AI,68039,64205,1850,415,237,152,1358,644,22768,22812,Organic,0.94651596878261,2654,4.133634452145472,0.3691301300521766,44,0.03333333333333333,45,Customer Story
P680,YouTube,2024-04-16,07:54,Reel,Motivational,Sample social media post caption 680,#marketing #socialmedia #AI,61474,33080,4548,202,90,192,475,206,96796,96945,Lead Generation,0.3351010183166867,5032,15.21160822249093,0.2720677146311971,149,0.03333333333333333,45,Customer Story
P681,Instagram,2024-08-23,10:35,Reel,Promotional,Sample social media post caption 681,#marketing #socialmedia #AI,98366,36732,2705,118,169,424,1940,167,10941,11103,Brand Awareness,0.1697741089400809,3416,9.299793095938147,0.4600892954372209,162,0.03333333333333333,45,Customer Story
P682,Facebook,2025-03-22,10:30,Carousel,Product Launch,Sample social media post caption 682,#marketing #socialmedia #AI,73512,70037,3240,78,94,172,909,431,26325,26393,Brand Awareness,0.5862988355642617,3584,5.1172951439953165,0.1342147721918414,68,0.03333333333333333,45,Customer Story
P683,Instagram,2024-10-23,11:15,Video,Educational,Sample social media post caption 683,#marketing #socialmedia #AI,35987,44141,1247,163,206,194,137,502,96877,97075,Lead Generation,1.3949481757301248,1810,4.100496137377948,0.4666863007181531,198,0.03333333333333333,45,Customer Story
P684,YouTube,2024-07-02,12:11,Reel,Motivational,Sample social media post caption 684,#marketing #socialmedia #AI,44028,36330,1872,301,278,157,1834,456,26139,26196,Lead Generation,1.0357045516489507,2608,7.178640242224057,0.7652078172309386,57,0.03333333333333333,45,Customer Story
P685,Facebook,2024-09-22,18:37,Text,Motivational,Sample social media post caption 685,#marketing #socialmedia #AI,62732,69696,4753,351,80,136,344,14,82979,82973,Organic,0.02231715870688,5320,7.633149678604225,0.1147842056932966,-6,0.03333333333333333,45,Customer Story
P686,Facebook,2025-02-26,02:30,Video,Educational,Sample social media post caption 686,#marketing #socialmedia #AI,21808,24630,1259,189,53,367,623,728,82357,82393,Lead Generation,3.338224504768892,1868,7.584246853430776,0.2151847340641494,36,0.03333333333333333,45,Customer Story
P687,LinkedIn,2025-06-11,21:50,Reel,Motivational,Sample social media post caption 687,#marketing #socialmedia #AI,14299,45594,4549,312,258,429,1561,503,89460,89564,Lead Generation,3.5177285124833904,5548,12.168267754529104,0.5658639294644032,104,0.03333333333333333,45,Customer Story
P688,YouTube,2025-01-28,12:54,Carousel,Industry News,Sample social media post caption 688,#marketing #socialmedia #AI,72884,71428,396,401,70,310,1282,419,51320,51496,Brand Awareness,0.5748861204105153,1177,1.64781318250546,0.098000784006272,176,0.03333333333333333,45,Customer Story
P689,Instagram,2025-02-01,22:45,Image,Educational,Sample social media post caption 689,#marketing #socialmedia #AI,80074,36201,4783,393,167,190,1922,821,6225,6323,Lead Generation,1.0253015960236782,5533,15.284108173807354,0.461313223391619,98,0.03333333333333333,45,Customer Story
P690,Facebook,2024-02-12,07:35,Carousel,Educational,Sample social media post caption 690,#marketing #socialmedia #AI,5561,35422,1528,179,11,42,540,456,86556,86686,Lead Generation,8.19996403524546,1760,4.9686635424312575,0.0310541471401953,130,0.03333333333333333,45,Customer Story
P691,LinkedIn,2024-01-08,06:32,Text,Educational,Sample social media post caption 691,#marketing #socialmedia #AI,64995,44243,2538,458,117,13,1453,959,36140,36243,Engagement Drive,1.4754981152396338,3126,7.065524489749792,0.2644486133399634,103,0.03333333333333333,45,Customer Story
P692,Facebook,2024-06-17,09:56,Image,Promotional,Sample social media post caption 692,#marketing #socialmedia #AI,43367,61739,2015,286,143,422,1801,349,33850,33885,Summer Campaign,0.8047593792515045,2866,4.642122483357359,0.231620207648326,35,0.03333333333333333,45,Customer Story
P693,YouTube,2024-09-19,11:25,Carousel,Educational,Sample social media post caption 693,#marketing #socialmedia #AI,96042,57737,3443,490,44,135,967,733,72189,72278,Brand Awareness,0.763207763270236,4112,7.121949529764277,0.0762076311550652,89,0.03333333333333333,45,Customer Story
P694,LinkedIn,2024-11-25,11:22,Reel,Product Launch,Sample social media post caption 694,#marketing #socialmedia #AI,22392,68595,322,349,155,383,377,639,92422,92513,Engagement Drive,2.853697749196141,1209,1.7625191340476711,0.2259639915445732,91,0.03333333333333333,45,Customer Story
P695,Instagram,2025-07-24,00:33,Reel,Promotional,Sample social media post caption 695,#marketing #socialmedia #AI,79013,68556,313,70,256,288,1937,778,48052,48218,Engagement Drive,0.984648095882956,927,1.352179240329074,0.3734173522375867,166,0.03333333333333333,45,Customer Story
P696,Instagram,2025-05-12,20:13,Image,Motivational,Sample social media post caption 696,#marketing #socialmedia #AI,88574,12734,4369,307,162,202,12,49,6865,6994,Engagement Drive,0.0553209745523517,5040,39.57907962933878,1.2721847023716035,129,0.03333333333333333,45,Customer Story
P697,YouTube,2025-07-29,17:55,Reel,Product Launch,Sample social media post caption 697,#marketing #socialmedia #AI,99488,31733,4227,452,111,146,997,116,54033,54044,Summer Campaign,0.1165969765197812,4936,15.554785239340749,0.3497935902688053,11,0.03333333333333333,45,Customer Story
P698,Facebook,2024-08-11,07:13,Video,Educational,Sample social media post caption 698,#marketing #socialmedia #AI,69715,76102,3039,414,71,335,1061,937,85918,86031,Lead Generation,1.3440436061105931,3859,5.070825996688654,0.0932958397939607,113,0.03333333333333333,45,Customer Story
P699,Facebook,2025-03-12,19:32,Video,Motivational,Sample social media post caption 699,#marketing #socialmedia #AI,24333,69056,2793,483,57,438,234,700,11386,11544,Organic,2.876751736325155,3771,5.460785449490269,0.0825417052826691,158,0.03333333333333333,45,Customer Story
P700,Facebook,2025-03-29,03:08,Carousel,Educational,Sample social media post caption 700,#marketing #socialmedia #AI,28972,35080,1280,273,288,333,1279,395,35173,35312,Brand Awareness,1.3633853375673064,2174,6.197263397947548,0.8209806157354618,139,0.03333333333333333,45,Customer Story
P701,YouTube,2025-07-17,23:14,Carousel,Motivational,Sample social media post caption 701,#marketing #socialmedia #AI,8879,49506,58,474,211,215,1620,118,73071,73205,Organic,1.3289784885685323,958,1.93511897547772,0.4262109643275562,134,0.03333333333333333,45,Customer Story
P702,LinkedIn,2024-02-20,03:15,Text,Product Launch,Sample social media post caption 702,#marketing #socialmedia #AI,36192,44330,4388,96,134,128,1164,842,61240,61426,Brand Awareness,2.326480990274094,4746,10.706068125422965,0.3022783667944958,186,0.03333333333333333,45,Customer Story
P703,YouTube,2025-02-15,13:43,Image,Educational,Sample social media post caption 703,#marketing #socialmedia #AI,74829,60575,4626,201,146,236,1474,723,95856,95912,Summer Campaign,0.9662029427093776,5209,8.599257119273627,0.2410235245563351,56,0.03333333333333333,45,Customer Story
P704,YouTube,2024-03-29,15:47,Image,Promotional,Sample social media post caption 704,#marketing #socialmedia #AI,91936,24554,3189,138,32,56,1962,694,8434,8436,Engagement Drive,0.7548729550991995,3415,13.908120876435612,0.1303249979636719,2,0.03333333333333333,45,Customer Story
P705,Instagram,2025-10-03,03:01,Carousel,Product Launch,Sample social media post caption 705,#marketing #socialmedia #AI,77902,49445,4209,383,25,285,437,16,18245,18337,Lead Generation,0.0205386254524915,4902,9.91404590959652,0.050561229649105,92,0.03333333333333333,45,Customer Story
P706,Facebook,2024-07-08,21:34,Video,Motivational,Sample social media post caption 706,#marketing #socialmedia #AI,84857,15744,2458,265,217,358,1191,84,69640,69665,Brand Awareness,0.0989900656398411,3298,20.94766260162601,1.3783028455284552,25,0.03333333333333333,45,Customer Story
P707,Facebook,2025-11-07,23:39,Text,Promotional,Sample social media post caption 707,#marketing #socialmedia #AI,51885,8277,1627,498,91,34,873,79,21959,22158,Brand Awareness,0.1522598053387299,2250,27.183762232693,1.0994321614111393,199,0.03333333333333333,45,Customer Story
P708,Facebook,2024-04-22,13:40,Text,Product Launch,Sample social media post caption 708,#marketing #socialmedia #AI,68807,25713,2247,72,248,394,722,438,69744,69820,Organic,0.6365631403781592,2961,11.51557577878894,0.9644926690778984,76,0.03333333333333333,45,Customer Story
P709,Facebook,2024-12-15,02:05,Carousel,Industry News,Sample social media post caption 709,#marketing #socialmedia #AI,65368,1539,1801,380,239,453,1452,726,59480,59552,Brand Awareness,1.1106351731734183,2873,186.67966211825865,15.529564652371668,72,0.03333333333333333,45,Customer Story
P710,Instagram,2024-04-10,05:32,Text,Promotional,Sample social media post caption 710,#marketing #socialmedia #AI,96621,72382,3043,405,161,29,167,936,17743,17779,Brand Awareness,0.9687335051386344,3638,5.026111464176177,0.2224309911303915,36,0.03333333333333333,45,Customer Story
P711,YouTube,2025-12-05,23:34,Image,Product Launch,Sample social media post caption 711,#marketing #socialmedia #AI,67558,4974,4626,376,292,405,1867,971,9248,9411,Brand Awareness,1.4372835193463396,5699,114.57579412947324,5.870526739043023,163,0.03333333333333333,45,Customer Story
P712,Instagram,2024-10-08,03:35,Carousel,Promotional,Sample social media post caption 712,#marketing #socialmedia #AI,96409,43371,409,67,200,71,1597,713,81574,81564,Brand Awareness,0.7395575101909573,747,1.7223490350695163,0.4611376265246362,-10,0.03333333333333333,45,Customer Story
P713,YouTube,2024-12-01,20:56,Carousel,Product Launch,Sample social media post caption 713,#marketing #socialmedia #AI,71459,75088,3896,203,212,293,705,811,4304,4444,Organic,1.1349165255601117,4604,6.131472405710633,0.2823353931387172,140,0.03333333333333333,45,Customer Story
P714,Facebook,2024-10-01,03:27,Carousel,Product Launch,Sample social media post caption 714,#marketing #socialmedia #AI,56433,29454,1962,408,6,339,1143,232,93638,93837,Engagement Drive,0.4111069764145092,2715,9.217763291912814,0.0203707476064371,199,0.03333333333333333,45,Customer Story
P715,Facebook,2024-11-28,05:59,Text,Educational,Sample social media post caption 715,#marketing #socialmedia #AI,79600,27687,2655,17,221,51,670,240,75566,75760,Lead Generation,0.3015075376884422,2944,10.63314913136129,0.7982085455267814,194,0.03333333333333333,45,Customer Story
P716,LinkedIn,2025-05-03,06:22,Image,Promotional,Sample social media post caption 716,#marketing #socialmedia #AI,63155,30050,219,464,241,241,1546,92,35502,35526,Summer Campaign,0.1456733433615707,1165,3.8768718801996673,0.8019966722129783,24,0.03333333333333333,45,Customer Story
P717,LinkedIn,2024-12-23,19:48,Image,Product Launch,Sample social media post caption 717,#marketing #socialmedia #AI,57572,29265,320,286,8,2,1323,346,6124,6272,Lead Generation,0.6009865907038144,616,2.1049034683068517,0.0273364086793097,148,0.03333333333333333,45,Customer Story
P718,Facebook,2024-10-18,15:11,Carousel,Educational,Sample social media post caption 718,#marketing #socialmedia #AI,68441,43757,1245,459,62,159,284,603,79887,79935,Brand Awareness,0.8810508321035637,1925,4.39929611262198,0.1416916150558767,48,0.03333333333333333,45,Customer Story
P719,YouTube,2025-10-17,07:23,Reel,Product Launch,Sample social media post caption 719,#marketing #socialmedia #AI,31793,49902,844,100,294,158,1958,629,44874,44987,Lead Generation,1.978422923285,1396,2.7974830668109494,0.5891547432968619,113,0.03333333333333333,45,Customer Story
P720,LinkedIn,2024-06-12,09:02,Reel,Educational,Sample social media post caption 720,#marketing #socialmedia #AI,65374,60054,1586,238,85,83,166,567,77124,77188,Brand Awareness,0.8673172820999174,1992,3.317014686781896,0.1415392813134845,64,0.03333333333333333,45,Customer Story
P721,LinkedIn,2025-11-07,02:48,Video,Industry News,Sample social media post caption 721,#marketing #socialmedia #AI,63450,25744,1532,432,213,311,786,88,73924,74030,Summer Campaign,0.1386918833727344,2488,9.66438781852082,0.8273772529521443,106,0.03333333333333333,45,Customer Story
P722,Facebook,2024-07-20,23:13,Image,Educational,Sample social media post caption 722,#marketing #socialmedia #AI,74297,79620,4122,169,282,300,1176,361,9251,9258,Brand Awareness,0.4858877209039396,4873,6.120321527254459,0.3541823662396383,7,0.03333333333333333,45,Customer Story
P723,LinkedIn,2025-06-18,01:37,Video,Motivational,Sample social media post caption 723,#marketing #socialmedia #AI,61210,13301,1080,234,274,479,1325,232,70116,70241,Brand Awareness,0.3790230354517235,2067,15.540184948500112,2.059995489060973,125,0.03333333333333333,45,Customer Story
P724,Instagram,2025-01-27,22:02,Reel,Product Launch,Sample social media post caption 724,#marketing #socialmedia #AI,32210,17612,4542,72,33,42,1157,790,3451,3554,Lead Generation,2.452654455138156,4689,26.623892800363397,0.1873722461957756,103,0.03333333333333333,45,Customer Story
P725,LinkedIn,2025-02-20,11:03,Image,Industry News,Sample social media post caption 725,#marketing #socialmedia #AI,28919,70890,131,224,173,272,857,872,34682,34873,Organic,3.015318648639303,800,1.1285089575398506,0.2440400620679927,191,0.03333333333333333,45,Customer Story
P726,LinkedIn,2025-03-22,11:26,Video,Promotional,Sample social media post caption 726,#marketing #socialmedia #AI,4585,77283,3660,225,243,341,1278,698,49817,49809,Summer Campaign,15.223555070883316,4469,5.78264301334058,0.3144287877023407,-8,0.03333333333333333,45,Customer Story
